Amazon	4.330226067057087	7610441
Kindle	4.370667134419354	1550677
J.	4.286489862439653	943077
John	4.339597882162234	855023
David	4.332267431478719	728022
Michael	4.331171053886772	712828
M.	4.294573155473131	651373
Robert	4.36125156915424	596659
D.	4.31587520534557	577076
C.	4.314113068961284	562011
S.	4.298931367917326	556693
James	4.351897862604875	548986
R.	4.299915248685741	488488
A.	4.258066106490611	466520
Mary	4.422338790023361	465728
Linda	4.45159854856004	422477
K.	4.298253264165601	399030
Richard	4.365127588425794	379188
L.	4.331904449222101	377684
Mike	4.316053011203538	370865
Mark	4.320373326119302	369650
Chris	4.294523861763233	355506
William	4.362390886392362	355249
Susan	4.415713160014993	338837
Jennifer	4.323734983509245	333217
T.	4.302339601149958	330099
Lisa	4.381311019001723	320392
B.	4.303844924571721	312880
Karen	4.423689207892111	310690
Paul	4.33025332640748	300324
Brian	4.296922414682476	281097
The	4.255051886276448	265099
Barbara	4.431617920978005	263066
Steve	4.326986391571554	255136
Daniel	4.330594053895025	251526
Nancy	4.43250978191212	251229
Thomas	4.351726988866681	249162
Michelle	4.338849994640015	242538
Patricia	4.42604573248723	242366
P.	4.317654532748873	236115
E.	4.289436400998966	235043
Sarah	4.2829203287935895	231878
Scott	4.314477422738996	228770
Jim	4.339684179650733	228421
Joe	4.300740380577718	226235
Kevin	4.308910409480853	226140
Carol	4.442382060672947	224713
Jessica	4.277772212761695	219626
Donna	4.444634011352669	218627
J	4.286594633812583	217771
Elizabeth	4.352991504100755	217399
Laura	4.341234452006571	217311
Jason	4.276794031095767	215785
Charles	4.361031920815082	206605
Eric	4.2840851162993925	205977
Amy	4.3154521130659	205933
G.	4.3081977165462275	204252
Amanda	4.294586401472707	199904
Joseph	4.341714692708568	199371
Bill	4.343529494778436	198408
Gary	4.3840554346557905	197133
Tom	4.315744499038667	187240
Jeff	4.308494695850678	186175
Sharon	4.43262599469496	184730
Bob	4.338841494208557	184151
Andrew	4.265846123723227	183862
Melissa	4.326114691353986	183414
Steven	4.332663205567215	181060
Dan	4.291056038652684	180893
Heather	4.3133591246712735	177579
Kathy	4.442315279265062	177430
Dave	4.311498431465815	176598
Sandra	4.422130677911721	174536
Stephanie	4.329977310578145	172327
Julie	4.372788170612543	169882
Kim	4.378466354791085	168657
Diane	4.436206519626895	164672
A	4.225204861851525	164135
George	4.363938985595531	162519
Stephen	4.346210617397058	157176
Larry	4.387661847974743	156474
Christopher	4.293227198963458	155903
Kelly	4.333993913228112	155419
Rebecca	4.356684698608964	155280
Ryan	4.25355002499789	154013
Alex	4.276016078606521	152252
Matthew	4.268152879007529	149687
Deborah	4.445649822910752	147948
Anthony	4.328414457570468	147798
Matt	4.248391405460747	147489
Peter	4.280226165315429	147149
Ashley	4.289609762824049	145040
Tim	4.315528688930731	141274
Frank	4.332432103798754	139809
Angela	4.348708460519496	138904
Nicole	4.278469347348716	138895
Mr.	4.272436621051789	137309
Christine	4.368265558219153	136407
W.	4.29193008827387	135714
Judy	4.443158105790009	134663
